SMILES,score
CC(=O)NC1C(NC(=O)C(NCC2CCN(CCC=C(C)C)C2)C(C)Cc2ccc(C(C)(C)C)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,14.76
CC(=O)NC1C(NC(=O)C(NC(=O)CN2CC3CCC(O)C3C2)c2cccc3ccccc23)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.9
CC(=O)NC1C(NC(=O)C(NC2CCC(O)(c3ccc(C)cc3C)CC2)c2c(F)ccc(F)c2Cl)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,13.72
CC(=O)NC1C(NC(=O)C(NC2CC(C)CN(C3CC(C)(C)C3)C2)c2cccc(C)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.58
COc1cc(C(NC(=O)CN2CC3CCC(O)C3C2)C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)cc(OC)c1OC,13.6
CCCC(C)C(NC(CCO)Cn1cc(C(F)(F)F)cn1)C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O,11.89
CC(=O)NC1C(NC(=O)C(NCC2(C(C)O)CCCC2)c2ccc(C)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,13.01
COCCNC(=O)NC1(C)CCC(NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(O)CO)CC1,11.42
CC(=O)NC1C(NC(=O)C(NC(C)CCN(C)C2CCOCC2)c2cccc(CBr)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.91
COCCC(=O)N1CCC(NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2csc(-c3ccccc3)n2)C1,10.2
CC(=O)NC1C(NC(=O)C(NC(C)CCN(C)C2CCOCC2)c2c(F)c(F)cc(F)c2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.64
CC(=O)NC1C(NC(=O)C(/C=C(\C)CCC=C(C)C)NCC(=O)NCC2CCN(C(C)=O)CC2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.37
C=CC(NC1CC12CCNC2)C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O,13.38
CC(=O)NC1C(NC(=O)C(NCC(C)(C)N2CCCC(O)CC2)c2ccc(Br)o2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.41
COc1ccc(C(NCC2(O)CCN(CC(=O)O)CC2)C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c(Cl)c1OC,11.38
